trial,trial_seed,n_users,ratio,F,B,cE,cN,final_pE,final_pN,price_margin_E,price_margin_N,comp_utilization,band_utilization,offloading_ratio,offloading_size,social_cost,esp_revenue,nsp_revenue,joint_revenue,restricted_gap,outer_iterations,stage2_oracle_calls,runtime_sec,stage1_method,stopping_reason
1,502377,50,0.5,44.721359549995796,89.44271909999159,0.01,0.01,5.125116387108151,0.9948656670705298,5.115116387108151,0.9848656670705298,0.5762413744587767,0.8171795464996756,0.24,12,1136.791953993037,131.81807203909526,71.98458072635869,203.80265276545396,0.0,3,37,1.2683426002040505,vbbr_brd,verified_gain_tolerance
1,502377,50,1.0,63.245553203367585,63.245553203367585,0.01,0.01,5.108510199212356,1.2886697935011089,5.098510199212356,1.2786697935011089,0.37811922998301445,0.9018043993411368,0.22,11,1154.2348055070527,121.9276077410654,72.92908270569284,194.85669044675825,0.0,3,37,1.149091400206089,vbbr_brd,verified_gain_tolerance
1,502377,50,1.5,77.45966692414834,51.63977794943222,0.01,0.01,3.888491272569897,1.5859209427561891,3.8784912725698972,1.575920942756189,0.3538667059931277,0.9956072178100615,0.22,11,1139.1463182515959,106.31098624718184,81.0227220234513,187.33370827063314,0.0,5,49,1.2814434999600053,vbbr_brd,verified_gain_tolerance
1,502377,50,2.0,89.44271909999159,44.721359549995796,0.01,0.01,3.600272189352311,1.5608173395636684,3.5902721893523113,1.5508173395636684,0.31984710656425824,1.0,0.22,11,1130.712075520481,102.71048850907036,69.35465983899472,172.06514834806507,0.0,4,43,1.3143695006147027,vbbr_brd,verified_gain_tolerance
1,502377,50,2.5,100.0,40.0,0.01,0.01,4.7397809944554865,1.5713604241190193,4.729780994455487,1.5613604241190193,0.20719382871027936,0.9827876540163715,0.18,9,1158.6213766202936,97.9981433202345,61.37942993175751,159.377573251992,0.0,5,49,0.9806481003761292,vbbr_brd,verified_gain_tolerance
1,502377,50,3.0,109.54451150103323,36.51483716701107,0.01,0.01,4.672160672588893,1.5810489103898926,4.662160672588893,1.5710489103898926,0.19050502936059757,0.9999999999999998,0.18,9,1157.905645982118,97.29360717158266,57.36659514429709,154.66020231587976,0.0,6,55,1.102276999503374,vbbr_brd,verified_gain_tolerance
1,502377,50,4.0,126.49110640673517,31.622776601683793,0.01,0.01,3.845808360365402,2.066812231487425,3.835808360365402,2.056812231487425,0.177734206283388,1.0,0.18,9,1156.9896807802686,86.23586258373376,65.04211370793757,151.27797629167134,0.0,5,49,0.8923538001254201,vbbr_brd,verified_gain_tolerance
