iteration,pE,pN,epsilon,dist_to_se
0,0.27307594831880416,2.0218600335502774,419.64317347156066,5.730953143041896
1,1.2776924492962702,11.466801490584585,0.0,10.752299914015309
2,1.2776874545372263,11.466783209162221,7.243668221690314e-06,10.752285683753362
3,1.2776874990897045,11.466783372229685,8.692400683685264e-07,10.752285810685036
4,1.2776875044360017,11.46678339179778,1.0430886732137878e-07,10.752285825916834
5,1.2776875050775567,11.466783394145951,1.2517148206825368e-08,10.752285827744652
6,1.277687505154543,11.46678339442773,1.502030499977991e-09,10.75228582796399
7,1.2776875051692413,11.466783394481526,0.0,10.752285828005864
8,1.277687505163362,11.466783394460009,2.403339749434963e-10,10.752285827989114
